Clustering Analysis for Lattice (diag_style cluster) 
nglobal = 8000 
nprocs = 8 


--------------------------------------------------
Time = 1.292427 
ncluster = 358 
<N> = 22.3464 
<R> = 2.47043 
id ivalue dvalue size cx cy cz xlo xhi ylo yhi zlo zhi 
 99 89 0 24 17.5 7 0.875 15 19 5 9 19 3
 100 88 0 19 10.8421 8 1.21053 10 12 7 9 19 3
 101 60 0 23 8.91304 8.56522 18.6087 7 11 5 10 17 1
 103 4 0 3 16 8.33333 0.666667 16 16 8 9 0 1
 105 74 0 6 11.3333 8.66667 19 11 12 8 9 18 0
 107 23 0 15 18.4 8.86667 18.4 17 19 7 10 16 0
 109 35 0 20 16.7 3 2.25 15 18 2 4 1 3
 110 11 0 48 13.4167 5.3125 3.5 12 15 3 8 1 6
 112 41 0 10 13.6 9.9 1.5 12 15 8 12 0 3
 113 52 0 71 13.0986 18.3239 4.11268 8 17 16 1 2 6
 114 42 0 13 16.8462 19.8462 3.07692 15 19 19 1 2 4
 116 73 0 6 16.3333 1.5 3.16667 16 17 1 2 2 4
 118 5 0 42 11.2619 11.4524 2.14286 9 13 9 14 0 4
 119 2 0 80 15.0875 12.175 0.9375 12 19 9 15 18 4
 120 29 0 44 16.9545 9.38636 5.45455 14 19 8 11 2 8
 122 80 0 30 15.7667 2.53333 4.93333 14 18 1 4 3 7
 126 90 0 3 12.6667 8 4 12 13 8 8 3 5
 128 95 0 1 10 1 4 10 10 1 1 4 4
 129 88 0 38 15.2895 4.97368 5.55263 13 18 3 7 4 8
 131 84 0 1 19 4 4 19 19 4 4 4 4
 132 21 0 28 17.1429 10 4.92857 15 0 8 12 3 7
 133 38 0 1 17 8 4 17 17 8 8 4 4
 135 10 0 42 14.1667 11.7619 5.28571 12 16 9 14 3 8
 137 39 0 25 12.92 1.48 6.2 11 15 0 3 5 8
 138 30 0 3 18.6667 2 5.66667 18 19 2 2 5 6
 139 66 0 17 11.6471 4.05882 6 10 13 3 6 5 8
 141 80 0 28 12.2857 8.39286 8.39286 10 15 6 10 5 11
 142 54 0 8 17.875 7.5 6.5 17 19 7 8 5 8
 147 68 0 23 15.1739 7.73913 7.52174 14 17 6 10 6 9
 148 25 0 7 13.4286 9.42857 6.85714 12 14 9 10 6 8
 149 34 0 45 12.6444 0.2 11.0889 10 15 18 3 7 13
 150 73 0 20 15.2 0.75 8.35 13 17 0 2 7 10
 152 59 0 30 15.1 2.86667 8.06667 13 17 1 5 7 10
 153 92 0 21 12.2857 3.57143 9.09524 11 14 2 6 7 11
 157 64 0 15 18.4667 9.93333 7.86667 18 19 8 11 7 9
 158 73 0 1 14 3 8 14 14 3 3 8 8
 159 30 0 1 18 3 8 18 18 3 3 8 8
 160 24 0 38 14.3158 6.44737 9.84211 12 17 4 9 8 12
 162 91 0 75 15.0267 9.49333 10.6933 12 18 7 12 7 14
 164 84 0 11 13.8182 1 9.81818 12 17 0 2 9 10
 165 98 0 60 16.5833 19.5167 12.1333 14 19 17 2 9 15
 167 45 0 35 14.5714 4.2 10.8857 12 16 2 6 9 13
 169 70 0 2 10.5 6.5 9.5 10 11 6 7 9 10
 171 75 0 1 13 8 9 13 13 8 8 9 9
 172 82 0 1 18 8 9 18 18 8 8 9 9
 178 13 0 19 6.57895 11.2632 1.21053 5 8 10 13 0 3
 179 4 0 5 7.6 10.4 19.6 7 8 10 11 19 0
 181 61 0 46 19.8261 12.4783 2.58696 18 2 10 15 0 6
 182 97 0 30 1.96667 12.8667 1.73333 0 3 11 14 19 5
 183 98 0 6 7 12 19 6 8 11 13 18 0
 184 15 0 89 9.58427 13.0225 16.0674 6 14 10 16 11 0
 185 36 0 28 19.1071 12.1071 18.2857 17 2 11 14 16 0
 186 88 0 29 5.82759 11.3448 17.7241 5 7 10 13 16 0
 188 69 0 78 3.67949 14.7436 18.8974 0 7 12 18 17 1
 189 68 0 1 0 14 0 0 0 14 14 0 0
 190 4 0 42 5.7619 14.2619 2.07143 4 8 13 16 0 4
 191 7 0 40 18.025 14.7 0.625 16 0 13 17 18 3
