layer window        0        3  haz        0        3 melt_depth        4
path start    180.0     10.0 end    -80.0     10.0 block        0      100        3       17 
path start    -80.0      5.0 end    180.0      5.0 block        0      100        0       12 
path start    180.0      0.0 end    -80.0      0.0 block        0      100        0        7 
layer window        9       12  haz        7       12 melt_depth        4
path start    100.0    -80.0 end    100.0    360.0 block       93      100        0      280 
path start     95.0    360.0 end     95.0    -80.0 block       88      100        0      280 
path start     90.0    -80.0 end     90.0    360.0 block       83       97        0      280 
path start     85.0    360.0 end     85.0    -80.0 block       78       92        0      280 
path start     80.0    -80.0 end     80.0    360.0 block       73       87        0      280 
path start     75.0    360.0 end     75.0    -80.0 block       68       82        0      280 
path start     70.0    -80.0 end     70.0    360.0 block       63       77        0      280 
path start     65.0    360.0 end     65.0    -80.0 block       58       72        0      280 
path start     60.0    -80.0 end     60.0    360.0 block       53       67        0      280 
path start     55.0    360.0 end     55.0    -80.0 block       48       62        0      280 
path start     50.0    -80.0 end     50.0    360.0 block       43       57        0      280 
path start     45.0    360.0 end     45.0    -80.0 block       38       52        0      280 
path start     40.0    -80.0 end     40.0    360.0 block       33       47        0      280 
path start     35.0    360.0 end     35.0    -80.0 block       28       42        0      280 
path start     30.0    -80.0 end     30.0    360.0 block       23       37        0      280 
path start     25.0    360.0 end     25.0    -80.0 block       18       32        0      280 
path start     20.0    -80.0 end     20.0    360.0 block       13       27        0      280 
path start     15.0    360.0 end     15.0    -80.0 block        8       22        0      280 
path start     10.0    -80.0 end     10.0    360.0 block        3       17        0      280 
path start      5.0    360.0 end      5.0    -80.0 block        0       12        0      280 
path start      0.0    -80.0 end      0.0    360.0 block        0        7        0      280 
